"Time","BBT 111 Average Plato","BBT 112 Average Plato","BBT 121 Average Plato","BBT 132 Average Plato","BBT 211 Average Plato","BBT 212 Average Plato","BBT 221 Average Plato","BBT 222 Average Plato","BBT 231 Average Plato","BBT 232 Average Plato","BBT 241 Average Plato","BBT 242 Average Plato","FST 111 Average Plato","FST 112 Average Plato","FST 121 Average Plato","FST 122 Average Plato","FST 131 Average Plato","FST 132 Average Plato","FST 141 Average Plato","FST 142 Average Plato","FST 151 Average Plato","FST 152 Average Plato","FST 161 Average Plato","FST 171 Average Plato","FST 172 Average Plato","FST 211 Average Plato","FST 212 Average Plato","FST 221 Average Plato","FST 222 Average Plato","FST 231 Average Plato","FST 232 Average Plato","FST 241 Average Plato","FST 242 Average Plato","FST 243 Average Plato","RBT 251 Average Plato","RBT 252 Average Plato","BBT111 Level","BBT112 Level","BBT121 Level","BBT132 Level","BBT211 Level","BBT212 Level","BBT221 Level","BBT222 Level","BBT231 Level","BBT232 Level","BBT241 Level","BBT242 Level","BBT251 Level","BBT252 Level","FST111 Level ","FST112 Level ","FST121 Level ","FST122 Level ","FST131 Level ","FST132 Level ","FST141 Level ","FST142 Level ","FST151 Level ","FST152 Level ","FST161 Level ","FST171 Level ","FST172 Level ","FST211 Level ","FST212 Level ","FST221 Level ","FST222 Level ","FST231 Level ","FST232 Level ","FST241 Level ","FST242 Level ","FST243 Level ","BBT111 Material","counter.last { tag_name: BBT111 MaterialVOB }","BBT112 Material","BBT121 Material","BBT132 Material","BBT211 Material","BBT212 Material","BBT221 Material","BBT222 Material","BBT231 Material","BBT232 Material","BBT241 Material","BBT242 Material","FST111 Material","FST112 Material","FST121 Material","FST122 Material","FST131 Material","FST132 Material","FST141 Material","FST142 Material","FST151 Material","FST152 Material","FST161 Material","FST171 Material","FST172 Material","FST211 Material","FST212 Material","FST221 Material","FST222 Material","FST231 Material","FST232 Material","FST241 Material","FST242 Material","FST243 Material","RBT251 Material","RBT252 Material","Pozzo 2","Pozzo 3","Pozzo 4","Pozzo 5","Pozzo 6","Thermal"
2025-11-04 23:00:00,11.14,11.15,11.12,11.11,10.68,10.63,10.64,10.67,10.69,11.22,10.66,10.65,17.19,16.79,15.72,17.44,16.68,17.62,15.68,16.95,17.19,17.22,16.62,16.60,17.24,17.36,17.13,17.19,16.89,17.16,14.86,16.55,17.26,17.37,15.60,10.15,2400.47,1511.22,15.40,1784.72,5.84,658.00,122.98,780.50,780.29,448.82,-10.02,770.31,12.40,44.09,0.00,0.00,0.00,0.00,0.00,0.00,112.79,1767.69,1718.75,1079.61,0.00,0.00,1823.64,0.00,3354.07,5887.80,42.37,5607.03,0.00,0.00,5899.34,5216.62,3.00,0.00,0.00,0.00,3.00,0.00,1.00,1.00,1.00,1.00,22.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,7.00,7.00,28.00,0.00,0.00,7.00,0.00,8.00,7.00,8.00,7.00,0.00,0.00,7.00,10.00,36.00,36.00,376.80,406.70,304.40,430.10,518.91,60.00
2025-11-05 23:00:00,11.14,11.14,11.20,11.16,10.69,11.34,10.68,10.66,10.69,11.22,0.00,0.00,17.19,16.79,15.72,16.45,16.68,17.62,15.68,16.95,17.19,17.07,16.62,16.60,17.24,17.36,17.13,17.19,16.89,17.16,14.86,16.55,17.26,17.37,15.25,10.15,256.53,2050.48,2179.02,1736.68,770.26,633.68,780.54,285.00,30.13,56.41,0.00,0.00,163.90,-2.31,0.00,0.00,0.00,1361.46,0.00,0.00,15.29,1767.69,768.28,1675.37,0.00,0.00,1823.64,0.00,92.62,5887.80,0.00,5460.59,0.00,0.00,5899.34,6414.41,3.00,0.00,3.00,3.00,3.00,1.00,3.00,1.00,1.00,1.00,22.00,1.00,1.00,0.00,0.00,0.00,9.00,0.00,0.00,9.00,7.00,7.00,28.00,0.00,0.00,7.00,0.00,0.00,7.00,0.00,7.00,0.00,0.00,7.00,10.00,36.00,0.00,241.80,262.70,199.50,275.90,332.22,60.00
2025-11-06 23:00:00,10.66,11.14,11.20,11.16,10.69,11.34,10.68,10.67,10.69,11.22,10.66,10.68,17.19,16.79,15.72,16.42,16.68,17.62,15.68,16.95,17.19,17.07,16.62,16.60,17.24,17.36,17.13,17.19,16.89,17.16,14.86,16.55,17.26,17.37,12.41,10.15,2288.00,25.27,401.03,399.86,770.26,47.34,780.54,780.00,6.86,-0.59,775.11,770.78,392.11,-2.31,0.00,0.00,0.00,1851.14,0.00,0.00,0.00,1767.69,14.40,1675.37,0.00,0.00,1823.64,0.00,0.00,5887.80,0.00,5340.41,0.00,0.00,5899.34,4647.56,1.00,0.00,0.00,1.00,1.00,1.00,3.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,7.00,7.00,28.00,0.00,0.00,7.00,0.00,0.00,7.00,0.00,7.00,0.00,0.00,7.00,10.00,36.00,0.00,196.70,213.60,163.80,224.20,270.09,60.00
2025-11-07 23:00:00,10.66,11.14,11.20,11.16,10.69,11.34,10.68,10.67,10.69,11.22,10.66,10.68,17.19,16.79,15.72,16.42,16.68,17.62,15.68,16.95,17.19,17.07,16.62,16.60,17.24,17.36,17.13,17.19,16.89,17.16,14.86,16.55,17.26,17.37,11.23,10.15,2288.00,25.27,186.52,399.86,770.26,47.34,780.54,780.00,6.86,-0.59,775.11,770.78,466.42,-2.31,0.00,0.00,0.00,1851.14,0.00,0.00,0.00,1767.69,14.40,1675.37,0.00,0.00,1823.64,0.00,0.00,5887.80,0.00,5340.41,0.00,0.00,5899.34,4647.56,1.00,0.00,0.00,1.00,3.00,1.00,3.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,7.00,7.00,28.00,0.00,0.00,7.00,0.00,0.00,7.00,0.00,7.00,0.00,0.00,7.00,10.00,36.00,0.00,33.00,35.30,27.30,36.80,44.28,60.00
2025-11-08 23:00:00,10.66,11.14,11.20,11.16,10.69,11.34,10.68,10.67,10.69,11.22,10.66,10.68,17.19,16.79,15.72,16.42,16.68,17.62,15.68,16.95,17.19,17.07,16.62,16.60,17.24,17.36,17.13,17.19,16.89,17.16,14.86,16.55,17.26,17.37,11.23,10.15,2288.00,25.27,186.52,399.86,770.26,47.34,780.54,780.00,6.86,-0.59,775.11,770.78,466.42,-2.31,0.00,0.00,0.00,1851.14,0.00,0.00,0.00,1767.69,14.40,1675.37,0.00,0.00,1823.64,0.00,0.00,5887.80,0.00,5340.41,0.00,0.00,5899.34,4647.56,1.00,0.00,0.00,1.00,3.00,1.00,3.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,7.00,7.00,28.00,0.00,0.00,7.00,0.00,0.00,7.00,0.00,7.00,0.00,0.00,7.00,10.00,36.00,0.00,24.30,26.50,20.80,27.50,33.22,60.00
2025-11-09 23:00:00,10.66,10.68,11.20,11.16,10.69,11.34,10.68,10.67,10.65,10.66,10.66,10.68,17.19,16.79,15.72,16.42,16.68,17.62,15.68,16.95,17.19,17.07,16.79,16.60,17.24,17.36,17.13,17.19,16.89,17.16,14.86,17.44,17.26,17.37,11.23,15.99,997.62,1779.60,-50.60,-34.06,5.97,2.32,24.73,8.23,780.00,700.00,605.86,770.78,324.81,71.20,0.00,0.00,0.00,1851.14,0.00,0.00,0.00,1749.68,14.40,1675.37,1986.97,0.00,1185.74,0.00,0.00,5860.34,0.00,4119.60,0.00,380.42,5899.34,5198.61,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,7.00,7.00,28.00,7.00,0.00,7.00,0.00,0.00,7.00,0.00,7.00,0.00,8.00,7.00,10.00,36.00,36.00,203.30,220.50,167.10,231.60,279.00,60.00
2025-11-10 23:00:00,10.67,10.68,11.20,11.16,10.67,10.65,10.63,10.63,10.65,10.69,0.00,10.68,17.19,16.79,15.72,16.42,16.68,17.62,15.68,16.95,17.19,17.07,16.79,16.60,17.24,17.36,17.13,17.19,16.89,17.16,16.47,16.67,17.26,17.37,11.23,11.97,1455.90,777.59,-50.60,-34.06,6.39,780.00,375.04,684.00,5.84,415.65,0.00,3.43,73.10,339.81,0.00,0.00,0.00,1851.14,0.00,0.00,0.00,597.68,14.40,1675.37,1986.97,0.00,1177.74,0.00,0.00,5674.44,0.00,2505.69,1597.88,3583.60,5899.34,3633.18,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,7.00,7.00,28.00,7.00,0.00,7.00,0.00,0.00,7.00,0.00,7.00,8.00,8.00,7.00,10.00,36.00,36.00,326.40,353.70,269.10,373.20,449.41,60.00
2025-11-11 23:00:00,10.62,10.68,10.66,11.16,10.66,10.63,10.63,10.63,10.65,10.69,10.68,10.68,17.19,16.79,15.72,16.42,16.68,17.62,15.68,16.95,17.19,17.07,16.79,16.60,17.24,17.36,17.13,17.19,16.41,17.16,16.27,16.67,17.26,17.37,11.74,10.04,998.00,24.16,2058.89,-34.06,184.33,506.00,6.58,4.45,5.84,6.26,5.05,3.43,101.00,475.52,0.00,0.00,0.00,1851.14,0.00,0.00,0.00,597.68,14.40,1675.37,1986.97,0.00,1177.74,0.00,0.00,5674.44,673.29,887.46,5562.90,3583.60,5678.68,2007.55,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,7.00,0.00,28.00,7.00,0.00,7.00,0.00,0.00,7.00,8.00,7.00,8.00,8.00,7.00,10.00,0.00,36.00,287.40,312.40,233.80,328.30,395.78,60.00
2025-11-12 23:00:00,10.62,10.68,10.66,11.16,10.66,10.63,10.63,10.63,10.65,10.69,10.68,10.68,17.19,16.79,15.72,16.42,16.68,17.62,15.68,16.95,17.19,17.07,16.79,16.60,17.24,17.36,17.13,17.19,16.18,17.16,16.27,16.67,17.26,17.37,8.07,10.04,597.45,24.16,1288.34,-34.06,6.04,4.67,6.58,4.45,5.84,6.26,5.05,3.43,344.11,-8.11,0.00,0.00,0.00,1775.55,0.00,0.00,0.00,1082.96,0.00,1621.91,1986.97,0.00,1177.74,0.00,0.00,5674.44,5090.73,887.46,5562.90,3583.60,5678.68,2007.55,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,7.00,0.00,28.00,7.00,0.00,7.00,0.00,0.00,7.00,8.00,7.00,8.00,8.00,7.00,10.00,36.00,0.00,206.60,214.80,162.90,227.80,273.31,60.00
2025-11-13 23:00:00,10.62,10.68,10.66,11.16,10.66,10.63,10.63,10.63,10.65,10.69,10.68,10.68,17.19,16.79,15.72,16.42,16.68,17.62,15.68,16.95,17.19,17.07,16.79,16.60,17.24,17.36,17.13,17.19,16.18,17.16,16.27,16.67,17.26,17.37,8.03,8.55,18.53,24.16,19.82,-34.06,6.04,4.67,6.58,4.45,5.84,6.26,5.05,3.43,-5.09,161.50,0.00,0.00,0.00,1775.55,0.00,0.00,0.00,1440.38,0.00,1621.91,1986.97,0.00,1177.74,0.00,0.00,5674.44,5572.90,887.46,5562.90,3583.60,5678.68,2538.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,7.00,0.00,28.00,7.00,0.00,7.00,0.00,0.00,7.00,8.00,7.00,8.00,8.00,7.00,10.00,0.00,36.00,130.40,141.70,109.40,146.90,179.00,60.00
